A股代码,A股简称,所属行业
000980,众泰汽车,C 制造业
000981,山子股份,C 制造业
000982,中银绒业,C 制造业
000983,山西焦煤,B 采矿业
000985,大庆华科,C 制造业
000987,越秀资本,J 金融业
000988,华工科技,C 制造业
000989,九 芝 堂,C 制造业
000990,诚志股份,C 制造业
000993,闽东电力,D 水电煤气
000995,皇台酒业,C 制造业
000996,*ST中期,F 批发零售
000997,新 大 陆,I 信息技术
000998,隆平高科,A 农林牧渔
000999,华润三九,C 制造业
001201,东瑞股份,A 农林牧渔
001202,炬申股份,G 运输仓储
001203,大中矿业,B 采矿业
001205,盛航股份,G 运输仓储
001206,依依股份,C 制造业
001207,联科科技,C 制造业
001208,华菱线缆,C 制造业
001209,洪兴股份,C 制造业
001210,金房能源,D 水电煤气
001211,双枪科技,C 制造业
001212,中旗新材,C 制造业
001213,中铁特货,G 运输仓储
001215,千味央厨,C 制造业
001216,华瓷股份,C 制造业
001217,华尔泰,C 制造业
001218,丽臣实业,C 制造业
001219,青岛食品,C 制造业
001222,源飞宠物,C 制造业
001223,欧克科技,C 制造业
001225,和泰机电,C 制造业
001226,拓山重工,C 制造业
001227,兰州银行,J 金融业
001228,永泰运,L 商务服务
001229,魅视科技,C 制造业
001230,劲旅环境,N 公共环保
001231,农心科技,C 制造业
001234,泰慕士,C 制造业
001236,弘业期货,J 金融业
001238,浙江正特,C 制造业
001255,博菲电气,C 制造业
001256,炜冈科技,C 制造业
001258,立新能源,D 水电煤气
001259,利仁科技,C 制造业
001260,坤泰股份,C 制造业
001266,宏英智能,C 制造业
001267,汇绿生态,E 建筑业
001268,联合精密,C 制造业
001269,欧晶科技,C 制造业
001270,铖昌科技,C 制造业
001278,一彬科技,C 制造业
001282,三联锻造,C 制造业
001283,豪鹏科技,C 制造业
001286,陕西能源,D 水电煤气
001287,中电港,F 批发零售
001288,运机集团,C 制造业
001289,龙源电力,D 水电煤气
001296,长江材料,C 制造业
001298,好上好,F 批发零售
001299,美能能源,D 水电煤气
001300,三柏硕,C 制造业
001301,尚太科技,C 制造业
001308,康冠科技,C 制造业
001309,德明利,C 制造业
001311,多利科技,C 制造业
001313,粤海饲料,C 制造业
001314,亿道信息,C 制造业
001316,润贝航科,F 批发零售
001317,三羊马,G 运输仓储
001318,阳光乳业,C 制造业
001319,铭科精技,C 制造业
001322,箭牌家居,C 制造业
001323,慕思股份,C 制造业
001324,长青科技,C 制造业
001328,登康口腔,C 制造业
001330,博纳影业,R 文化传播
001331,胜通能源,D 水电煤气
001332,锡装股份,C 制造业
001333,光华股份,C 制造业
001336,楚环科技,C 制造业
001337,四川黄金,B 采矿业
001338,永顺泰,C 制造业
001339,智微智能,C 制造业
001360,南矿集团,C 制造业
001366,播恩集团,C 制造业
001367,海森药业,C 制造业
001368,通达创智,C 制造业
001373,翔腾新材,C 制造业
001380,华纬科技,C 制造业
001696,宗申动力,C 制造业
001872,招商港口,G 运输仓储
001896,豫能控股,D 水电煤气
001914,招商积余,K 房地产
001965,招商公路,G 运输仓储
001979,招商蛇口,K 房地产
002001,新 和 成,C 制造业
002002,鸿达兴业,C 制造业
002003,伟星股份,C 制造业
002004,华邦健康,C 制造业
002005,ST德豪,C 制造业
002006,精工科技,C 制造业
002007,华兰生物,C 制造业
002008,大族激光,C 制造业
002009,天奇股份,C 制造业
002010,传化智联,L 商务服务
002011,盾安环境,C 制造业
002012,凯恩股份,C 制造业
002014,永新股份,C 制造业
002015,协鑫能科,D 水电煤气
002016,世荣兆业,K 房地产
002017,东信和平,C 制造业
002019,亿帆医药,C 制造业
002020,京新药业,C 制造业
002021,*ST中捷,C 制造业
002022,科华生物,C 制造业
002023,海特高新,C 制造业
002024,ST易购,F 批发零售
002025,航天电器,C 制造业
002026,山东威达,C 制造业
002027,分众传媒,L 商务服务
002028,思源电气,C 制造业
002029,七 匹 狼,C 制造业
002030,达安基因,C 制造业
002031,巨轮智能,C 制造业
002032,苏 泊 尔,C 制造业
002033,丽江股份,N 公共环保
002034,旺能环境,N 公共环保
002035,华帝股份,C 制造业
002036,联创电子,C 制造业
002037,保利联合,C 制造业
002038,双鹭药业,C 制造业
002039,黔源电力,D 水电煤气
002040,南 京 港,G 运输仓储
002041,登海种业,A 农林牧渔
002042,华孚时尚,C 制造业
002043,兔 宝 宝,C 制造业
002044,美年健康,Q 卫生
002045,国光电器,C 制造业
002046,国机精工,C 制造业
002047,宝鹰股份,E 建筑业
002048,宁波华翔,C 制造业
002049,紫光国微,C 制造业
002050,三花智控,C 制造业
002051,中工国际,E 建筑业
002052,ST同洲,C 制造业
002053,云南能投,C 制造业
002054,德美化工,C 制造业
002055,得润电子,C 制造业
002056,横店东磁,C 制造业
002057,中钢天源,C 制造业
002058,威尔泰,C 制造业
002059,云南旅游,N 公共环保
002060,粤 水 电,E 建筑业
002061,浙江交科,E 建筑业
002062,宏润建设,E 建筑业
002063,远光软件,I 信息技术
002064,华峰化学,C 制造业
002065,东华软件,I 信息技术
002066,瑞泰科技,C 制造业
002067,景兴纸业,C 制造业
002068,黑猫股份,C 制造业
002069,獐子岛,A 农林牧渔
002072,凯瑞德,I 信息技术
002073,软控股份,C 制造业
002074,国轩高科,C 制造业
002075,沙钢股份,C 制造业
002076,星光股份,C 制造业
002077,大港股份,C 制造业
002078,太阳纸业,C 制造业
002079,苏州固锝,C 制造业
002080,中材科技,C 制造业
002081,金 螳 螂,E 建筑业
002082,万邦德,C 制造业
002083,孚日股份,C 制造业
002084,海鸥住工,C 制造业
002085,万丰奥威,C 制造业
002086,*ST东洋,A 农林牧渔
002087,*ST新纺,C 制造业
002088,鲁阳节能,C 制造业
002089,*ST新海,C 制造业
002090,金智科技,C 制造业
002091,江苏国泰,F 批发零售
002092,中泰化学,C 制造业
002093,国脉科技,I 信息技术
002094,青岛金王,C 制造业
002095,生 意 宝,I 信息技术
002096,易普力,C 制造业
002097,山河智能,C 制造业
002098,浔兴股份,C 制造业
002099,海翔药业,C 制造业
002100,天康生物,C 制造业
002101,广东鸿图,C 制造业
002102,冠福股份,C 制造业
002103,广博股份,L 商务服务
002104,恒宝股份,C 制造业
002105,信隆健康,C 制造业
002106,莱宝高科,C 制造业
002107,沃华医药,C 制造业
002108,沧州明珠,C 制造业
002109,兴化股份,C 制造业
002110,三钢闽光,C 制造业
002111,威海广泰,C 制造业
002112,三变科技,C 制造业
002114,罗平锌电,C 制造业
002115,三维通信,L 商务服务
002116,中国海诚,E 建筑业
002117,东港股份,C 制造业
002119,康强电子,C 制造业
002120,韵达股份,G 运输仓储
002121,科陆电子,C 制造业
002122,汇洲智能,C 制造业
002123,梦网科技,I 信息技术
002124,天邦食品,A 农林牧渔
002125,湘潭电化,C 制造业
002126,银轮股份,C 制造业
002127,南极电商,L 商务服务
002128,电投能源,B 采矿业
002129,TCL中环,C 制造业
002130,沃尔核材,C 制造业
002131,利欧股份,I 信息技术
002132,恒星科技,C 制造业
002133,广宇集团,K 房地产
002134,天津普林,C 制造业
002135,东南网架,C 制造业
002136,安 纳 达,C 制造业
002137,实益达,C 制造业
002138,顺络电子,C 制造业
002139,拓邦股份,C 制造业
002140,东华科技,E 建筑业
002141,贤丰控股,C 制造业
002142,宁波银行,J 金融业
002144,宏达高科,C 制造业
002145,中核钛白,C 制造业
002146,荣盛发展,K 房地产
002148,北纬科技,I 信息技术
002149,西部材料,C 制造业
002150,通润装备,C 制造业
002151,北斗星通,C 制造业
002152,广电运通,C 制造业
002153,石基信息,I 信息技术
002154,报 喜 鸟,C 制造业
002155,湖南黄金,B 采矿业
002156,通富微电,C 制造业
002157,*ST 正邦,A 农林牧渔
002158,汉钟精机,C 制造业
002159,三特索道,N 公共环保
002160,常铝股份,C 制造业
002161,远 望 谷,C 制造业
002162,悦心健康,C 制造业
002163,海南发展,E 建筑业
002164,宁波东力,C 制造业
002165,红 宝 丽,C 制造业
002166,莱茵生物,C 制造业
002167,东方锆业,C 制造业
002168,惠程科技,I 信息技术
002169,智光电气,C 制造业
002170,芭田股份,C 制造业
002171,楚江新材,C 制造业
002172,澳洋健康,C 制造业
002173,创新医疗,Q 卫生
002174,游族网络,I 信息技术
002175,东方智造,C 制造业
002176,江特电机,C 制造业
002177,御银股份,C 制造业
002178,延华智能,M 科研服务
002179,中航光电,C 制造业
002180,纳思达,C 制造业
002181,粤 传 媒,L 商务服务
002182,宝武镁业,C 制造业
002183,怡 亚 通,L 商务服务
002184,海得控制,C 制造业
002185,华天科技,C 制造业
002186,全 聚 德,H 住宿餐饮
002187,广百股份,F 批发零售
002188,中天服务,L 商务服务
002189,中光学,C 制造业
002190,成飞集成,C 制造业
002191,劲嘉股份,C 制造业
002192,融捷股份,B 采矿业
002193,如意集团,C 制造业
002194,武汉凡谷,C 制造业
002195,岩山科技,I 信息技术
002196,方正电机,C 制造业
002197,证通电子,I 信息技术
002198,嘉应制药,C 制造业
002199,东晶电子,C 制造业
002200,ST交投,A 农林牧渔
002201,正威新材,C 制造业
002202,金风科技,C 制造业
002203,海亮股份,C 制造业
002204,大连重工,C 制造业
002205,国统股份,C 制造业
002206,海 利 得,C 制造业
002207,准油股份,B 采矿业
002208,合肥城建,K 房地产
002209,达 意 隆,C 制造业
002210,飞马国际,L 商务服务
002211,宏达新材,C 制造业
002212,天融信,I 信息技术
002213,大为股份,C 制造业
002214,大立科技,C 制造业
002215,诺 普 信,C 制造业
002216,三全食品,C 制造业
002217,合力泰,C 制造业
002218,拓日新能,C 制造业
002219,新里程,Q 卫生
002221,东华能源,F 批发零售
002222,福晶科技,C 制造业
002223,鱼跃医疗,C 制造业
002224,三 力 士,C 制造业
002225,濮耐股份,C 制造业
002226,江南化工,C 制造业
002227,奥 特 迅,C 制造业
002228,合兴包装,C 制造业
002229,鸿博股份,C 制造业
002230,科大讯飞,I 信息技术
002231,奥维通信,C 制造业
002232,启明信息,I 信息技术
002233,塔牌集团,C 制造业
002234,民和股份,A 农林牧渔
002235,安妮股份,I 信息技术
002236,大华股份,C 制造业
002237,恒邦股份,C 制造业
002238,天威视讯,I 信息技术
002239,奥特佳,C 制造业
002240,盛新锂能,C 制造业
002241,歌尔股份,C 制造业
002242,九阳股份,C 制造业
002243,力合科创,C 制造业
002244,滨江集团,K 房地产
002245,蔚蓝锂芯,C 制造业
002246,北化股份,C 制造业
002247,聚力文化,I 信息技术
002248,华东数控,C 制造业
002249,大洋电机,C 制造业
002250,联化科技,C 制造业
002251,步 步 高,F 批发零售
002252,上海莱士,C 制造业
002253,川大智胜,I 信息技术
002254,泰和新材,C 制造业
002255,海陆重工,C 制造业
002256,兆新股份,D 水电煤气
002258,利尔化学,C 制造业
002259,ST升达,D 水电煤气
002261,拓维信息,I 信息技术
002262,恩华药业,C 制造业
002263,大东南,C 制造业
002264,新 华 都,F 批发零售
002265,建设工业,C 制造业
002266,浙富控股,N 公共环保
002267,陕天然气,D 水电煤气
002268,电科网安,I 信息技术
002269,美邦服饰,C 制造业
002270,华明装备,C 制造业
002271,东方雨虹,C 制造业
002272,川润股份,C 制造业
002273,水晶光电,C 制造业
002274,华昌化工,C 制造业
002275,桂林三金,C 制造业
002276,万马股份,C 制造业
002277,友阿股份,F 批发零售
002278,神开股份,C 制造业
002279,久其软件,I 信息技术
002280,联络互动,F 批发零售
002281,光迅科技,C 制造业
002282,博深股份,C 制造业
002283,天润工业,C 制造业
002284,亚太股份,C 制造业
002285,世联行,K 房地产
002286,保龄宝,C 制造业
002287,奇正藏药,C 制造业
002288,超华科技,C 制造业
002289,ST宇顺,C 制造业
002290,禾盛新材,C 制造业
002291,遥望科技,C 制造业
002292,奥飞娱乐,C 制造业
002293,罗莱生活,C 制造业
002294,信立泰,C 制造业
002295,精艺股份,C 制造业
002296,辉煌科技,C 制造业
002297,博云新材,C 制造业
002298,中电兴发,I 信息技术
002299,圣农发展,A 农林牧渔
002300,太阳电缆,C 制造业
002301,齐心集团,C 制造业
002302,西部建设,C 制造业
002303,美盈森,C 制造业
002304,洋河股份,C 制造业
002305,南国置业,K 房地产
002306,中科云网,I 信息技术
002307,北新路桥,E 建筑业
002308,威创股份,C 制造业
002309,ST中利,C 制造业
002310,东方园林,N 公共环保
002311,海大集团,C 制造业
002312,川发龙蟒,C 制造业
002313,*ST日海,C 制造业
002314,南山控股,K 房地产
002315,焦点科技,I 信息技术
002316,亚联发展,I 信息技术
002317,众生药业,C 制造业
002318,久立特材,C 制造业
002319,乐通股份,C 制造业
002320,海峡股份,G 运输仓储
002321,华英农业,A 农林牧渔
002322,理工能科,I 信息技术
002323,雅博股份,E 建筑业
002324,普利特,C 制造业
002325,洪涛股份,E 建筑业
002326,永太科技,C 制造业
002327,富安娜,C 制造业
002328,新朋股份,C 制造业
002329,皇氏集团,C 制造业
002330,得利斯,C 制造业
002331,皖通科技,I 信息技术
002332,仙琚制药,C 制造业
002333,罗普斯金,C 制造业
002334,英威腾,C 制造业
002335,科华数据,C 制造业
002336,人人乐,F 批发零售
002337,赛象科技,C 制造业
002338,奥普光电,C 制造业
002339,积成电子,C 制造业
002340,格林美,C 制造业
002341,新纶新材,C 制造业
002342,巨力索具,C 制造业
